id,age,gender,annual_income,marital_status,num_children,education,years_of_employment,credit_history,current_debt,loan_purpose
50,50,male,86492,divorced,2,phd,24,good,2310,car
51,68,male,107309,married,3,phd,27,good,2921,business
52,32,female,98912,divorced,5,bachelor,24,good,2484,home
53,37,male,105178,divorced,2,bachelor,39,good,2171,car
54,22,male,54130,married,1,master,42,average,9039,personal
55,41,male,102346,divorced,2,master,3,good,1916,education
56,66,female,106492,single,1,bachelor,30,average,9145,home
57,23,male,120093,divorced,0,bachelor,49,good,290,car
58,35,male,108982,divorced,3,bachelor,6,average,4897,education
59,41,female,97459,widowed,0,bachelor,7,average,597,education
60,46,female,98299,single,3,master,35,average,5542,business
61,58,female,134302,married,5,master,13,average,1819,personal
62,53,female,149486,divorced,1,bachelor,44,average,8053,home
63,38,male,140272,single,3,phd,43,good,1602,personal
64,37,female,127642,widowed,2,bachelor,15,good,344,home
65,22,male,69894,married,3,bachelor,19,average,9660,personal
66,47,female,113674,married,4,bachelor,50,good,3568,education
67,41,female,135611,divorced,1,master,25,average,3424,personal
68,39,male,140640,married,3,phd,8,average,7936,car
69,18,male,98772,single,5,master,35,average,9706,car
70,31,male,63015,single,2,master,9,average,2098,car
71,39,male,52651,married,3,phd,18,average,4468,home
72,56,female,146198,divorced,1,phd,29,good,3692,education
73,62,female,137489,married,0,phd,25,average,5456,home
74,31,male,95308,widowed,2,master,10,good,9509,business
75,63,male,128757,married,0,phd,44,good,7798,education
76,59,male,128547,single,3,phd,14,average,114,personal
77,40,male,98919,widowed,2,phd,50,good,9089,home
78,30,male,103255,divorced,4,phd,5,average,406,car
79,27,male,112523,married,4,phd,39,good,2096,personal
80,60,female,91577,widowed,1,bachelor,4,good,1305,personal
81,51,male,115277,single,5,bachelor,24,average,1400,home
82,19,female,143083,single,4,bachelor,19,good,263,personal
83,25,male,82448,single,4,master,47,good,5864,personal
84,32,male,90131,divorced,5,master,48,good,8798,car
85,60,female,134603,married,3,bachelor,15,good,8405,business
86,35,male,50489,single,1,phd,13,average,8454,business
87,54,male,84494,divorced,3,bachelor,35,good,6400,personal
88,42,male,140491,divorced,5,bachelor,37,good,4454,personal
89,28,male,73145,divorced,5,master,49,good,889,car
90,61,male,71973,married,5,phd,12,good,3725,personal
91,38,male,87787,widowed,3,master,20,good,9992,car
92,56,male,114624,widowed,1,phd,25,good,9500,personal
93,33,female,138477,divorced,4,phd,12,good,4261,car
94,46,male,67543,single,5,bachelor,38,good,7836,business
95,40,male,69428,divorced,5,master,48,good,503,personal
96,34,female,109813,widowed,1,phd,6,good,4558,car
97,45,male,77902,divorced,0,master,41,good,1866,home
98,36,female,88622,married,4,bachelor,28,good,3406,personal
99,30,male,60667,married,5,phd,7,average,5144,home
100,65,male,94320,divorced,3,phd,4,good,3653,car
101,46,male,71917,divorced,0,bachelor,21,good,1293,business
102,53,male,99494,divorced,5,bachelor,13,average,5267,business
103,24,female,95360,divorced,0,bachelor,44,good,1402,home
104,56,male,117185,married,5,bachelor,47,good,3501,business
105,66,male,54282,single,0,master,44,good,1660,education
106,44,male,137320,divorced,3,bachelor,43,good,8451,home
107,32,female,70093,divorced,0,bachelor,7,good,5006,personal
108,60,male,79621,single,3,bachelor,8,average,681,car
109,22,male,123004,married,5,bachelor,22,average,2895,business
110,28,male,74999,married,5,master,16,average,9226,home
111,59,male,101098,divorced,5,master,8,average,5804,car
112,18,male,55226,single,2,bachelor,36,good,8454,car
113,43,male,102817,widowed,2,master,49,good,8319,business
114,69,male,79311,single,3,master,36,good,6793,education
115,67,female,120193,divorced,4,phd,33,average,3068,business
116,32,female,104652,married,4,master,37,good,7352,home
117,58,male,65467,divorced,2,phd,32,good,1279,personal
118,68,female,69297,single,5,phd,37,good,546,home
119,31,female,117248,married,5,master,24,good,7742,personal
120,69,male,113235,married,1,phd,19,good,2142,home
121,21,female,123869,single,2,phd,26,good,239,car
122,42,female,100218,married,3,master,41,good,4136,car
123,30,male,128263,married,4,bachelor,43,average,5347,education
124,66,male,107208,divorced,0,master,28,good,7895,education
125,68,male,93016,married,5,phd,41,good,7335,home
126,35,female,86178,single,1,master,16,average,512,personal
127,26,female,79263,married,0,master,30,good,6508,home
128,43,male,92953,divorced,5,master,8,good,8271,personal
129,55,female,129269,divorced,0,bachelor,38,average,2892,car
130,41,male,102606,single,3,phd,9,average,2864,business
131,60,female,100894,divorced,4,phd,26,average,8445,car
132,34,male,101666,widowed,1,bachelor,20,average,6643,education
133,68,female,140522,married,5,bachelor,21,good,5549,education
134,45,female,126220,widowed,3,phd,29,average,8165,business
135,44,female,103683,single,1,bachelor,18,good,1883,personal
136,41,female,95810,married,0,master,26,good,2307,business
137,37,male,57762,widowed,5,master,13,good,1519,education
138,37,female,113149,divorced,0,phd,17,average,1508,home
139,37,male,79776,married,1,phd,41,good,2942,home
140,58,female,58235,widowed,5,master,28,good,4977,personal
141,32,female,103263,widowed,2,master,9,good,5738,business
142,46,male,98728,divorced,3,phd,33,good,9554,business
143,20,male,118679,single,3,master,48,average,5077,car
144,48,female,67524,married,0,phd,22,good,5235,home
145,53,female,94749,married,4,master,22,average,3587,business
146,19,female,143413,single,4,phd,15,good,5995,personal
147,67,female,84350,widowed,4,bachelor,33,average,7394,business
148,53,male,58565,divorced,4,phd,48,good,9565,business
149,66,male,62877,widowed,1,bachelor,49,average,269,car
150,36,male,60922,widowed,1,bachelor,40,average,6077,business
151,62,female,72368,divorced,2,master,29,average,6213,home
152,21,female,57890,widowed,5,master,29,average,3743,education
153,44,male,122862,married,3,master,46,average,8581,education
154,49,female,98361,divorced,1,master,39,average,4248,education
155,22,male,87676,divorced,0,bachelor,10,average,3365,car
156,69,male,139603,widowed,0,bachelor,32,average,8140,home
157,40,male,86835,married,4,bachelor,44,average,9545,business
158,33,female,117272,married,4,phd,12,good,80,car
159,69,female,70227,widowed,5,phd,33,good,219,car
160,28,male,69111,divorced,0,phd,27,average,7808,education
161,62,female,139252,single,3,bachelor,31,good,9841,personal
162,29,male,102968,married,3,master,38,average,8785,home
163,44,female,111241,single,4,bachelor,22,average,6326,business
164,33,female,68176,divorced,3,phd,11,good,3734,personal
165,59,female,88542,widowed,3,master,39,good,9761,personal
166,62,male,98819,married,3,phd,16,average,1933,education
167,66,female,83106,divorced,0,bachelor,17,average,4667,home
168,49,male,85915,married,4,bachelor,14,good,1424,home
169,47,male,64557,married,0,bachelor,24,average,251,personal
170,68,female,100019,single,5,phd,48,average,2696,personal
171,49,male,139609,divorced,1,phd,49,good,2343,car
172,34,female,66061,married,5,master,29,average,1424,car
173,62,male,105799,single,5,master,25,good,5942,personal
174,44,male,116681,divorced,4,bachelor,31,average,7864,personal
175,24,male,74645,divorced,2,master,28,average,7892,car
176,50,male,129954,widowed,2,bachelor,37,average,5738,personal
177,38,male,51060,widowed,3,phd,42,good,9590,personal
178,56,male,130812,married,0,phd,12,average,5247,car
179,18,female,142831,married,2,master,19,good,4167,personal
180,60,male,118613,married,4,bachelor,47,good,4456,education
181,55,female,110243,divorced,0,bachelor,5,average,5503,personal
182,32,male,118585,single,3,master,22,good,9153,personal
183,42,male,120523,married,3,bachelor,20,good,8427,education
184,39,male,140295,divorced,3,phd,27,good,7854,education
185,35,male,66717,married,4,master,19,good,5259,business
186,70,male,56991,married,0,phd,41,good,5846,home
187,45,female,92510,divorced,4,phd,41,good,7556,business
188,44,male,111670,married,1,phd,50,good,6196,business
189,38,male,110884,divorced,5,phd,30,average,6284,business
190,49,female,86425,divorced,3,master,23,good,1793,education
191,68,male,124135,divorced,1,phd,5,average,766,business
192,22,male,139536,single,5,bachelor,5,good,8980,car
193,68,female,105994,single,5,master,39,good,9187,car
194,40,female,116617,married,1,bachelor,44,average,1973,home
195,45,female,53400,married,1,bachelor,24,good,4760,education
196,36,female,132261,married,3,master,38,good,5337,car
197,38,male,131781,divorced,1,phd,27,average,1504,personal
198,65,male,73059,single,5,phd,50,good,156,personal
199,38,male,103168,single,4,master,7,good,8544,business
200,33,male,92114,widowed,5,master,36,good,1609,business
201,28,male,71321,divorced,2,phd,23,good,2177,car
202,29,male,132978,married,2,phd,30,average,8639,personal
203,66,female,111993,widowed,0,phd,9,average,8192,personal
204,55,male,54906,married,1,phd,13,average,904,personal
205,48,male,145083,single,2,phd,35,average,8125,personal
206,65,female,72732,divorced,2,phd,32,average,3176,home
207,50,male,108785,divorced,0,bachelor,42,good,9207,car
208,29,male,120797,divorced,5,phd,18,good,1379,home
209,68,female,117834,married,2,bachelor,37,average,5852,personal
210,67,male,106222,single,4,master,32,good,2121,home
211,69,male,138477,single,3,bachelor,3,average,6972,education
212,56,male,94672,widowed,5,bachelor,13,average,2307,home
213,35,male,53000,single,3,bachelor,47,average,2150,car
214,25,male,63519,divorced,1,master,35,good,4013,business
215,29,female,137150,widowed,2,phd,10,good,5692,car
216,37,male,50457,married,1,master,31,good,129,education
217,23,female,110945,widowed,0,master,18,good,2858,car
218,27,female,61172,widowed,2,bachelor,31,average,4505,education
219,67,female,109679,single,2,master,41,good,131,education
220,41,female,52896,married,5,bachelor,38,good,8719,car
221,43,female,70014,married,4,master,31,good,2398,car
222,25,male,76979,single,2,master,39,average,3749,education
223,24,male,134980,single,1,phd,45,good,1394,home
224,50,male,103202,single,4,phd,37,good,8644,education
225,46,female,115572,married,3,phd,40,average,6762,home
226,69,male,95772,divorced,1,phd,14,good,1587,business
227,65,male,118805,married,3,phd,38,good,9803,car
228,69,female,73153,divorced,2,bachelor,34,average,611,car
229,49,female,120139,widowed,5,phd,37,good,224,business
230,43,male,62157,widowed,0,phd,38,good,3895,home
231,35,male,98676,single,3,phd,47,good,318,education
232,41,female,72223,single,5,bachelor,45,average,8016,education
233,48,female,95224,married,1,phd,3,average,808,personal
234,51,male,92084,married,4,master,34,average,3574,home
235,38,female,147291,widowed,4,master,15,average,438,personal
236,38,male,147287,married,4,bachelor,37,average,8709,car
237,37,female,56533,married,1,phd,42,average,8818,personal
238,48,male,148711,single,1,bachelor,41,good,6402,personal
239,32,male,127468,married,2,phd,18,average,9314,home
240,70,male,127532,divorced,4,bachelor,12,good,745,personal
241,21,female,68612,married,2,master,16,average,4627,business
242,38,male,146216,divorced,5,master,26,good,8856,business
243,43,female,88892,widowed,3,master,25,good,1786,home
244,34,female,124849,single,5,phd,24,average,72,business
245,68,female,100626,widowed,5,master,46,average,4845,car
246,24,male,79879,single,1,phd,27,average,5499,car
247,47,male,99942,married,4,bachelor,43,good,507,car
248,20,male,137703,divorced,0,phd,45,good,3265,business
249,39,female,146318,married,2,master,46,average,396,personal
250,18,male,89254,married,2,master,12,good,1927,personal
251,33,female,138503,married,4,bachelor,36,average,7758,car
252,19,female,145974,single,0,master,43,average,2964,education
253,22,male,56479,married,1,bachelor,17,average,9596,home
254,19,male,109719,widowed,3,phd,10,good,9268,education
255,46,male,149454,married,2,phd,46,good,7145,personal
256,29,male,125734,married,2,master,24,average,2158,business
257,22,male,120395,divorced,3,master,23,average,9471,education
258,68,female,78983,divorced,4,master,3,good,4334,education
259,65,female,64354,single,1,phd,12,good,8080,home
260,24,female,86588,widowed,3,bachelor,8,average,3465,business
261,41,female,72306,divorced,2,phd,15,good,2493,home
262,42,female,50570,divorced,2,phd,39,average,3971,car
263,70,male,126802,single,1,bachelor,36,average,1230,car
264,39,female,114515,widowed,5,master,34,good,481,education
265,31,female,147766,divorced,4,master,40,average,3117,education
266,21,female,88277,married,4,bachelor,38,good,3422,home
267,48,male,126017,single,1,bachelor,36,good,8037,car
268,61,male,128041,divorced,4,master,4,good,2994,business
269,64,female,95264,widowed,4,bachelor,25,average,8222,home
270,31,male,113051,divorced,1,master,12,good,3331,car
271,43,female,137930,single,3,bachelor,16,average,5877,home
272,68,male,109481,widowed,1,master,10,good,2329,education
273,46,female,115118,widowed,4,bachelor,47,good,2571,car
274,38,female,75177,single,2,master,23,good,1272,education
275,30,female,66240,single,4,phd,30,good,4215,car
276,18,female,97085,widowed,5,bachelor,38,good,4798,home
277,67,male,81401,widowed,4,master,21,average,4893,business
278,53,male,141007,married,2,bachelor,38,average,6183,business
279,62,female,129801,widowed,5,bachelor,24,good,1731,home
280,24,female,137395,widowed,3,master,3,average,299,education
281,53,male,120079,divorced,5,bachelor,41,average,579,business
282,54,male,124666,single,1,master,32,average,2122,home
283,29,female,124930,married,1,master,30,average,5692,car
284,64,male,77821,divorced,1,phd,37,average,2314,education
285,19,female,67637,widowed,4,master,9,good,2561,education
286,69,female,111248,widowed,0,master,35,good,2365,business
287,47,female,138703,widowed,2,phd,36,average,5608,personal
288,62,male,143207,single,1,master,22,average,2835,home
289,63,male,97295,married,4,phd,17,good,8760,education
290,46,male,87944,married,1,master,18,average,4121,education
291,44,male,139099,married,3,bachelor,8,good,2581,education
292,57,male,94826,single,4,phd,5,good,9643,business
293,61,female,67023,widowed,3,phd,44,average,1773,business
294,52,female,63231,single,2,master,23,good,3068,car
295,56,male,64785,widowed,1,phd,33,good,3259,car
296,38,male,135430,widowed,4,phd,7,average,1377,education
297,66,male,63282,widowed,1,bachelor,35,good,7560,education
298,61,female,109307,widowed,0,phd,5,average,8098,car
299,32,female,128762,single,0,bachelor,5,average,1136,home
300,34,male,55162,single,4,phd,49,good,5337,personal
301,27,female,91805,single,4,master,26,good,6596,business
302,50,male,63115,single,1,phd,42,good,6658,business
303,27,male,126724,divorced,3,master,19,good,9819,personal
304,41,male,82166,divorced,4,phd,43,good,3382,car
305,60,male,129316,single,4,bachelor,36,good,6453,home
306,23,male,65337,widowed,2,bachelor,28,average,7181,business
307,64,male,138858,widowed,0,bachelor,29,average,2115,personal
308,62,male,125588,single,2,bachelor,14,good,822,home
309,47,female,95396,single,5,phd,14,average,4556,personal
310,29,male,143287,divorced,2,phd,32,average,2480,business
311,22,female,124825,single,4,master,31,average,3074,home
312,42,female,52365,widowed,3,master,20,good,308,education
313,56,male,58347,single,3,phd,46,average,8557,business
314,64,female,60634,divorced,4,bachelor,30,average,3323,car
315,53,male,78596,single,4,master,34,average,7406,personal
316,39,male,80294,divorced,4,phd,41,good,1803,education
317,60,female,97629,single,2,phd,21,good,3212,home
318,24,female,133073,single,3,master,25,average,5321,car
319,52,female,139906,married,3,bachelor,31,average,3873,business
320,27,female,95982,single,4,phd,47,good,188,personal
321,25,female,105216,married,0,master,19,average,8656,business
322,33,male,106873,divorced,1,master,35,good,4857,education
323,66,male,79392,widowed,1,bachelor,20,average,5491,education
324,30,female,134815,single,5,phd,10,good,6811,business
325,25,female,78597,widowed,1,phd,45,average,8091,education
326,63,female,108633,single,0,master,42,good,5707,car
327,66,male,70325,married,5,phd,37,average,2500,personal
328,52,female,62462,single,3,bachelor,30,average,9350,personal
329,58,male,94533,divorced,4,phd,6,good,7934,car
330,64,female,76655,divorced,3,master,11,average,6394,home
331,51,male,54957,married,5,phd,35,good,2936,education
332,57,male,98566,divorced,3,phd,49,average,1295,personal
333,33,female,71119,married,5,master,32,average,7262,education
334,27,male,121769,married,3,phd,4,average,2660,personal
335,18,female,83488,single,1,master,9,average,932,home
336,48,male,134288,widowed,0,master,46,good,4787,personal
337,30,female,101737,widowed,4,phd,13,good,6142,personal
338,50,male,114826,divorced,3,phd,8,good,1068,education
339,56,male,77893,married,2,bachelor,6,average,2821,education
340,40,male,107583,widowed,0,bachelor,32,good,9675,business
341,24,male,85033,married,2,phd,21,good,112,home
342,51,male,66150,married,1,bachelor,13,average,8467,personal
343,61,male,125136,single,3,master,23,good,379,personal
344,39,female,114846,single,5,master,35,good,5212,car
345,31,female,127572,single,5,master,11,average,9999,education
346,38,female,58766,divorced,4,phd,6,average,6593,business
347,40,male,147775,divorced,1,bachelor,44,average,2439,home
348,26,female,105724,married,3,phd,28,average,5324,personal
349,20,male,131939,single,2,master,12,average,8828,personal
350,51,female,84591,married,1,bachelor,37,average,9331,car
351,60,male,113445,married,5,master,7,average,5107,home
352,56,male,93795,single,0,master,34,average,7280,home
353,49,male,97224,single,4,master,15,average,5679,education
354,39,male,70771,married,0,phd,3,average,3636,home
355,43,male,127778,married,0,phd,45,good,8529,business
356,67,male,103593,divorced,4,bachelor,49,good,4155,personal
357,68,male,107494,single,3,master,23,average,9177,personal
358,63,female,77464,single,1,bachelor,26,average,5507,car
359,42,female,53894,divorced,0,bachelor,46,average,3123,business
360,54,male,128641,widowed,2,master,41,good,1213,business
361,23,female,81479,widowed,1,phd,46,good,47,home
362,36,female,136766,divorced,2,bachelor,35,average,837,car
363,66,female,113948,married,5,bachelor,47,good,6113,business
364,65,male,129844,widowed,1,master,42,average,2090,education
365,33,female,63724,divorced,0,bachelor,36,average,8791,education
366,34,male,69183,single,5,master,5,average,1440,education
367,36,male,108243,widowed,4,phd,50,average,1946,personal
368,46,female,102984,widowed,0,master,19,good,7372,car
369,65,male,102201,divorced,0,phd,36,average,5363,business
370,33,female,143124,divorced,2,bachelor,49,average,7419,home
371,55,female,70751,single,0,bachelor,19,average,9688,home
372,49,female,124409,divorced,4,phd,43,good,5799,personal
373,26,male,118804,married,3,bachelor,33,good,4589,home
374,42,male,78725,married,5,phd,29,good,1764,business
375,43,female,108983,married,2,bachelor,3,good,32,business
376,34,male,118545,widowed,2,master,3,average,6472,car
377,35,female,104912,widowed,5,master,42,average,410,car
378,35,male,63353,married,1,master,20,average,9242,education
379,69,male,131630,married,0,master,8,good,4761,car
380,44,male,60161,divorced,3,bachelor,45,average,4107,education
381,37,male,104295,divorced,0,master,9,good,1981,personal
382,56,male,142304,widowed,2,phd,50,good,7435,education
383,23,male,69616,single,5,bachelor,27,average,8055,home
384,57,male,66066,married,3,master,43,average,5456,education
385,18,female,62554,divorced,1,master,3,good,5274,car
386,25,male,104415,married,0,bachelor,39,good,5990,business
387,64,male,77005,married,2,bachelor,21,average,4805,business
388,48,female,108757,married,2,bachelor,47,good,5473,car
389,28,male,141558,married,0,phd,24,good,1943,personal
390,24,male,99980,single,0,bachelor,20,good,1585,personal
391,52,female,98768,widowed,4,phd,49,good,4376,business
392,49,male,109748,widowed,0,bachelor,30,average,3519,education
393,66,male,133856,divorced,0,master,24,average,2514,home
394,21,male,59111,divorced,5,master,38,good,7882,education
395,52,male,77896,single,3,phd,9,good,2668,business
396,36,female,118751,widowed,0,master,25,average,9952,business
397,46,female,91250,single,3,phd,22,average,938,personal
398,65,female,100391,married,2,bachelor,34,good,5053,personal
399,26,female,69639,single,3,bachelor,7,average,104,home
400,48,female,53532,widowed,2,phd,43,average,5784,car
401,51,female,122946,married,3,bachelor,17,good,9124,car
402,61,male,133151,widowed,2,bachelor,16,average,6424,personal
403,67,male,73022,divorced,4,phd,44,good,1227,car
404,56,male,95470,divorced,4,bachelor,30,good,9132,personal
405,36,male,92753,divorced,2,phd,25,average,9473,car
406,28,female,132693,married,4,phd,40,good,2477,personal
407,30,male,54888,widowed,4,phd,37,good,3132,business
408,34,male,101179,divorced,1,master,41,good,3818,personal
409,38,male,111354,widowed,5,master,37,good,9451,car
410,20,female,63320,single,0,phd,26,good,8768,car
411,19,male,60795,single,0,phd,47,average,8923,business
412,65,male,52103,single,4,phd,49,average,4918,business
413,68,male,60483,widowed,4,master,44,average,813,car
414,29,male,84487,widowed,0,bachelor,41,average,1595,education
415,60,female,81151,single,5,bachelor,11,average,3982,education
416,63,female,139428,single,0,bachelor,37,good,1835,personal
417,58,female,76383,widowed,2,phd,47,good,4782,home
418,25,male,80987,single,1,bachelor,26,average,9130,personal
419,42,female,60338,widowed,2,phd,40,average,510,education
420,61,male,81009,divorced,4,phd,45,good,2745,business
421,53,male,74873,divorced,3,bachelor,19,average,3616,home
422,65,female,76987,married,4,master,16,average,5300,car
423,69,female,129487,single,2,master,46,good,3612,car
424,30,male,67794,married,2,phd,39,good,6793,education
425,43,male,148328,single,0,bachelor,11,average,2052,business
426,56,female,62959,single,5,bachelor,31,good,8408,car
427,43,female,89469,single,4,bachelor,20,average,2729,home
428,55,male,124837,divorced,4,master,15,good,7447,business
429,34,male,139954,married,0,phd,28,good,1869,personal
430,64,female,66605,widowed,3,bachelor,43,average,5254,personal
431,39,male,80653,widowed,5,phd,3,good,6390,business
432,33,male,84963,widowed,3,master,26,average,4748,education
433,18,male,104900,divorced,4,master,34,average,687,personal
434,51,male,132349,single,1,phd,23,good,6646,education
435,41,female,100033,married,0,phd,27,good,5447,car
436,65,male,70644,divorced,4,phd,27,good,5053,education
437,66,female,82128,divorced,5,phd,39,average,8621,business
438,64,male,138277,married,4,bachelor,46,average,8670,home
439,23,female,146836,married,5,phd,38,average,4128,car
440,20,female,116649,widowed,0,phd,24,good,5552,home
441,45,female,69544,divorced,4,master,24,good,8330,home
442,25,male,100816,divorced,2,master,18,good,9637,home
443,60,female,75853,married,1,master,7,average,6472,business
444,54,female,97868,married,5,bachelor,38,good,6840,business
445,44,male,66155,single,5,phd,5,good,9369,personal
446,36,female,56256,married,2,phd,50,average,6852,personal
447,51,male,127531,single,3,bachelor,38,good,8090,car
448,18,male,91057,divorced,5,phd,33,average,3888,home
449,65,male,64852,married,3,master,19,good,3807,education
450,68,male,61880,married,0,master,27,average,5830,car
451,49,female,90957,single,0,phd,16,good,192,education
452,29,female,94236,widowed,0,master,50,good,9025,home
453,49,male,87952,married,2,phd,39,good,2209,personal
454,65,female,71842,single,0,phd,47,average,4319,personal
455,29,male,88268,single,4,master,49,good,8891,education
456,54,female,94972,married,4,bachelor,25,good,612,home
457,61,female,61105,divorced,3,phd,12,average,1385,personal
458,62,female,62704,married,1,master,28,good,3213,business
459,21,female,78334,divorced,5,phd,5,average,4728,business
460,39,male,100343,married,4,phd,33,average,5043,home
461,32,male,92083,married,2,bachelor,20,average,5411,education
462,35,female,124235,divorced,2,phd,20,average,616,home
463,26,female,93954,widowed,2,phd,9,good,4078,personal
464,22,female,93931,single,3,master,30,good,3403,personal
465,31,male,141034,married,1,phd,26,good,6179,personal
466,64,female,123603,single,3,bachelor,9,good,5572,car
467,38,female,88085,married,3,bachelor,38,average,3788,personal
468,42,male,56880,divorced,5,bachelor,27,average,2313,business
469,26,female,117861,single,2,phd,43,good,5419,car
470,62,male,93469,single,5,phd,32,good,9368,education
471,26,male,70386,married,1,phd,46,good,7397,home
472,30,female,106249,divorced,0,master,35,good,2678,car
473,58,female,52320,single,5,phd,12,good,8910,car
474,51,male,103638,single,5,bachelor,15,good,6212,home
475,26,male,125476,single,1,master,4,average,6711,home
476,51,male,141966,divorced,4,bachelor,28,average,7273,car
477,56,female,127552,married,1,master,35,average,705,business
478,48,female,147602,widowed,1,master,15,good,9742,car
479,34,female,58905,married,3,bachelor,4,average,2401,personal
480,54,male,67545,widowed,5,phd,5,average,6536,car
481,47,female,113718,married,4,phd,17,average,530,business
482,60,female,122609,single,3,bachelor,9,average,1178,business
483,58,female,111297,widowed,3,bachelor,9,average,2115,home
484,24,female,71970,single,4,bachelor,41,good,3673,business
485,42,female,121696,widowed,3,master,42,average,7806,home
486,48,male,101038,divorced,4,phd,8,good,2589,education
487,31,female,146089,widowed,4,master,16,good,9369,education
488,52,male,120261,widowed,2,bachelor,38,good,1886,home
489,40,male,64960,single,1,bachelor,22,average,493,personal
490,57,female,130289,married,2,master,10,average,5287,education
491,65,female,98031,divorced,3,bachelor,44,good,2254,education
492,56,male,66583,single,2,master,16,average,2704,personal
493,29,male,135409,widowed,4,master,44,average,457,personal
494,54,female,64583,divorced,4,bachelor,17,average,5062,car
495,41,female,148627,single,3,phd,3,average,982,education
496,44,male,71176,married,3,phd,18,good,1824,business
497,24,female,60318,divorced,5,phd,14,average,5166,business
498,21,female,73805,widowed,1,bachelor,18,average,435,personal
499,32,female,140402,single,2,bachelor,22,good,9559,personal
500,58,male,67752,married,0,phd,37,good,4373,education
501,49,male,112173,married,1,phd,48,average,7897,personal
502,49,female,94346,single,4,bachelor,33,average,1319,business
503,30,female,108006,married,2,master,32,average,2115,personal
504,31,male,143621,married,2,master,6,average,479,home
505,19,female,104537,single,2,bachelor,29,good,363,education
506,60,female,127862,single,1,bachelor,18,good,9682,education
507,44,male,71819,married,1,phd,9,good,1835,car
508,35,female,113003,married,2,bachelor,40,good,575,personal
509,33,male,96912,divorced,4,bachelor,31,good,8074,business
510,29,male,64917,widowed,0,master,8,average,850,car
511,42,male,86425,single,1,master,22,average,6138,home
512,30,female,59761,married,3,bachelor,40,average,1744,business
513,63,female,62396,widowed,1,master,6,good,7444,car
514,70,female,91212,divorced,2,master,50,average,2474,education
515,32,female,142458,single,1,phd,8,average,144,home
516,24,male,142604,single,3,phd,19,average,1790,car
517,67,female,123268,single,2,master,34,good,9303,home
518,27,female,148431,widowed,3,bachelor,16,average,944,education
519,37,female,91275,widowed,0,master,45,good,9934,personal
520,59,female,101297,divorced,2,bachelor,35,good,4698,car
521,49,female,52996,married,1,bachelor,26,good,1232,personal
522,21,female,117366,married,4,phd,34,good,8194,business
523,19,male,85356,single,4,master,40,average,7687,car
524,60,male,83371,single,4,phd,4,good,687,education
525,58,female,77463,divorced,2,phd,13,average,6315,home
526,22,female,67241,married,2,phd,28,average,1800,business
527,26,female,105032,married,5,master,19,good,6511,car
528,68,male,135424,married,2,phd,35,average,5029,education
